order_id,customer_id,product_id,sales_rep_id,order_date,quantity,discount,total,status
1,86,9,2,2025-05-30,1,0,1378.94,completed
2,223,88,5,2025-09-02,1,0.15,3789.46,completed
3,465,52,1,2024-07-11,1,0.1,323.06,completed
4,87,16,12,2024-01-23,3,0.1,3888.35,completed
5,131,99,18,2025-10-17,2,0.05,133.78,completed
6,11,7,4,2024-04-20,2,0,1627.64,completed
7,106,89,1,2025-04-30,1,0.05,1483.84,completed
8,319,78,5,2024-10-03,2,0.15,7724.58,completed
9,59,14,16,2025-09-24,1,0,1812.04,completed
10,152,21,2,2025-01-01,2,0.15,2100.37,completed
11,2,2,3,2025-05-07,5,0.1,126.77,completed
12,371,13,9,2025-06-07,2,0,1067.48,returned
13,52,23,2,2024-09-27,4,0,1947.16,completed
14,49,98,2,2025-03-12,1,0,3796.4,completed
15,184,57,20,2024-12-02,1,0.1,132.53,completed
16,94,15,13,2024-12-16,2,0,1443.54,pending
17,436,62,14,2025-12-07,2,0.1,687.62,completed
18,372,8,6,2025-12-13,1,0.15,379.11,completed
19,93,79,13,2025-08-05,3,0.05,10173.19,cancelled
20,250,15,14,2024-05-13,2,0,1443.54,completed
21,348,68,19,2024-01-13,3,0,1453.5,returned
22,266,67,20,2024-12-12,1,0.05,141.19,completed
23,340,87,13,2024-12-20,1,0.1,2165.07,cancelled
24,330,21,17,2025-09-19,4,0.15,4200.73,cancelled
25,124,43,9,2024-11-24,1,0,703.54,completed
26,411,74,15,2024-03-21,1,0,182.81,completed
27,10,14,13,2025-05-24,2,0.05,3442.88,completed
28,456,66,18,2025-09-25,1,0.05,435.49,returned
29,287,99,20,2024-12-05,2,0.1,126.74,completed
30,389,85,8,2025-04-08,1,0,1194.31,completed
31,281,67,12,2024-10-25,3,0,445.86,completed
32,313,26,7,2025-02-23,1,0.15,1426.85,completed
33,56,97,14,2024-07-14,1,0.05,985.24,completed
34,302,65,5,2025-04-06,10,0,2224.7,completed
35,261,100,6,2025-08-22,3,0,13173.24,pending
36,308,78,11,2024-04-16,2,0,9087.74,returned
37,391,32,9,2025-12-10,1,0,308.78,completed
38,309,90,17,2024-05-16,1,0.1,4466.25,cancelled
39,378,71,7,2025-12-29,1,0.05,74.19,completed
40,472,87,5,2024-12-19,20,0.05,45706.97,returned
41,327,42,4,2025-05-30,3,0.05,1783.64,completed
42,364,54,18,2025-11-14,1,0.1,375.35,pending
43,196,19,2,2025-06-19,3,0,1611.63,pending
44,129,19,2,2025-11-30,3,0,1611.63,pending
45,232,14,20,2024-02-03,4,0.1,6523.34,cancelled
46,288,50,8,2025-10-24,2,0.1,209.09,completed
47,341,7,13,2025-12-10,1,0.2,651.06,returned
48,495,71,2,2024-11-16,1,0,78.09,completed
49,361,91,12,2025-10-10,3,0.05,4605.88,completed
50,91,88,3,2024-07-17,1,0,4458.19,completed
51,143,72,9,2025-01-21,1,0.05,317.54,completed
52,239,91,5,2024-12-04,1,0.15,1373.68,completed
53,316,85,10,2025-10-02,2,0.05,2269.19,completed
54,163,68,8,2025-12-25,10,0.05,4602.75,pending
55,275,52,3,2024-06-12,1,0.15,305.12,completed
56,185,38,7,2024-12-05,10,0.05,3995.22,completed
57,5,15,12,2025-10-26,2,0.15,1227.01,completed
58,21,88,11,2025-09-28,1,0.1,4012.37,completed
59,145,4,17,2024-09-19,4,0,3577.2,pending
60,152,84,7,2025-04-01,1,0,4508.0,completed
61,321,9,7,2025-07-04,3,0.1,3723.14,cancelled
62,360,95,14,2024-07-29,2,0.2,4946.67,completed
63,368,43,2,2024-06-06,1,0,703.54,pending
64,421,30,9,2025-07-25,2,0,4518.74,completed
65,9,50,4,2024-11-19,2,0.05,220.7,completed
66,435,10,12,2025-08-22,5,0,7476.15,pending
67,311,12,10,2024-11-04,3,0,6681.42,completed
68,16,61,6,2025-11-07,2,0,611.66,completed
69,325,19,10,2025-07-12,3,0.15,1369.89,pending
70,192,2,18,2025-10-25,4,0,112.68,completed
71,276,71,3,2025-08-09,1,0.1,70.28,cancelled
72,109,53,17,2024-12-18,1,0,392.72,completed
73,93,86,19,2024-09-15,4,0.15,6532.22,cancelled
74,282,10,10,2025-07-16,3,0,4485.69,completed
75,170,46,5,2025-08-17,3,0,968.04,completed
76,249,58,11,2024-11-21,2,0,247.16,completed
77,414,41,14,2025-08-02,1,0,609.12,pending
78,379,83,14,2025-12-30,1,0,726.93,completed
79,450,62,15,2024-12-05,2,0.1,687.62,completed
